Var1_1,Var1_2,Var1_3,Var1_4,Var1_5,Var1_6,Var1_7,Var1_8,Var1_9,Var1_10
0.604455909903721,0.769174211632796,1.55156889534727,0.907841383422779,0.927958833619211,0.966748423265592,0.5716,0.946956566505929,7.48331477354788,0.013929
0.6333732150636,0.805259985984583,1.04721005163326,0.910017889087657,0.940611836199158,0.954519971969166,0.656,0.947514869048033,6.32455532033676,0.0051926
0.667604299106546,0.829704484933427,1.01333634337691,0.916666666666667,0.948722417819918,0.953608969866854,0.7058,0.951159417757352,6.32455532033676,0.0284201
0.631727007874646,0.798332375613174,1.15748876772216,0.911001788908766,0.937930561743839,0.958864751226349,0.6378,0.948282135246115,6,0.063624
0.649134210784945,0.81302866152768,1.12343866227401,0.913834227787716,0.942913385826772,0.956657323055361,0.6694,0.94973563378322,7.21110255092798,0.0402268
0.688202056580619,0.889846320953048,1.09500341721435,0.905038759689923,0.975293367825142,0.911492641906097,0.8682,0.94231431003568,7.21110255092798,0.0133702
0.72821223268919,0.911795444989489,0.929134954570951,0.916845557543232,0.982138176371466,0.918990889978977,0.9046,0.94951579328446,4.47213595499958,0.0044425
0.734265099475776,0.911950315346882,0.881376333932302,0.919916517590936,0.981488379022646,0.923300630693763,0.9006,0.951505741315808,4,0.0174275
0.702719135970061,0.887668605466013,0.951054141714353,0.913685152057245,0.972475035926158,0.924737210932025,0.8506,0.948005531708544,7.21110255092798,0.0425124
0.695880743662191,0.904213174491941,1.11190177791471,0.902116875372689,0.982279931258354,0.901226348983882,0.9072,0.940009136592051,4.47213595499958,0.0215674
